Order ID,State/Province,Shipping Status,Date,City,Country/Region,Ship Mode,Days to Ship Scheduled
US-2023-139948,Florida,Shipped,7/22/2023,Tampa,United States,Standard Class,6
US-2022-130029,California,Ordered,7/3/2022,Los Angeles,United States,First Class,2
US-2021-120712,Texas,Ordered,12/20/2021,Austin,United States,Standard Class,6
US-2022-146150,Mississippi,Shipped,2/19/2022,Jackson,United States,Standard Class,6
US-2023-154851,Pennsylvania,Ordered,3/30/2023,Lancaster,United States,Standard Class,6
US-2020-148614,California,Shipped,1/25/2020,Los Angeles,United States,Standard Class,12
US-2020-120670,Florida,Ordered,11/2/2020,Fort Lauderdale,United States,Standard Class,6
US-2023-107174,Washington,Shipped,11/13/2023,Seattle,United States,Standard Class,18
US-2021-140557,New York,Ordered,9/7/2021,New York City,United States,Standard Class,6
US-2023-118521,New York,Ordered,2/16/2023,New York City,United States,Standard Class,6
US-2022-160486,Florida,Ordered,12/30/2022,West Palm Beach,United States,Standard Class,6
US-2021-122210,Pennsylvania,Ordered,11/30/2021,Philadelphia,United States,Standard Class,18
US-2020-151995,Washington,Shipped,10/15/2020,Edmonds,United States,First Class,4
US-2023-143112,New York,Ordered,10/5/2023,New York City,United States,Standard Class,18
US-2020-133830,California,Shipped,12/10/2020,Los Angeles,United States,Standard Class,18
US-2022-121020,Tennessee,Shipped,10/31/2022,Lebanon,United States,Standard Class,6
US-2022-115504,Louisiana,Shipped,3/17/2022,Monroe,United States,Standard Class,6
US-2023-156391,Oregon,Ordered,9/26/2023,Salem,United States,First Class,1
US-2023-106047,Ohio,Ordered,7/12/2023,Fairfield,United States,Standard Class,6
US-2020-103989,Florida,Shipped,3/21/2020,Lakeland,United States,First Class,7
US-2021-126669,Texas,Ordered,11/7/2021,Houston,United States,Standard Class,6
US-2021-112014,California,Shipped,8/20/2021,Yucaipa,United States,Standard Class,6
US-2023-165358,Pennsylvania,Ordered,7/18/2023,Philadelphia,United States,Standard Class,18
US-2020-124646,Minnesota,Ordered,6/22/2020,Minneapolis,United States,First Class,2
US-2021-117184,Texas,Shipped,5/21/2021,Houston,United States,Standard Class,12
US-2020-130918,Florida,Shipped,8/24/2020,North Miami,United States,Second Class,3
US-2023-163265,Illinois,Shipped,2/21/2023,Decatur,United States,Standard Class,30
US-2021-140557,New York,Shipped,9/11/2021,New York City,United States,Standard Class,6
US-2021-120502,California,Ordered,4/13/2021,Los Angeles,United States,Standard Class,18
US-2022-155670,North Carolina,Shipped,8/17/2022,Jacksonville,United States,Second Class,6
US-2023-119452,Oklahoma,Shipped,3/27/2023,Tulsa,United States,Standard Class,6
US-2020-118997,Alabama,Shipped,4/12/2020,Decatur,United States,Standard Class,6
US-2023-129224,Tennessee,Ordered,3/17/2023,Knoxville,United States,Standard Class,6
US-2022-142097,Virginia,Ordered,10/15/2022,Springfield,United States,Standard Class,18
US-2023-134796,Illinois,Shipped,7/1/2023,Bolingbrook,United States,Standard Class,6
US-2021-167255,California,Shipped,9/29/2021,San Francisco,United States,Second Class,9
US-2023-121216,Texas,Shipped,12/25/2023,College Station,United States,Second Class,6
US-2023-145429,California,Shipped,7/25/2023,San Diego,United States,Standard Class,18
US-2023-121258,California,Ordered,2/26/2023,Costa Mesa,United States,Standard Class,18
US-2021-124450,District of Columbia,Ordered,4/27/2021,Washington,United States,Standard Class,18
US-2023-140781,Illinois,Shipped,8/7/2023,Bloomington,United States,Standard Class,6
US-2020-160094,Kentucky,Ordered,4/30/2020,Louisville,United States,First Class,2
US-2022-161683,Pennsylvania,Shipped,12/8/2022,Philadelphia,United States,Standard Class,12
US-2023-121706,California,Ordered,2/26/2023,Santa Barbara,United States,Standard Class,6
US-2020-114335,Florida,Ordered,9/28/2020,Hollywood,United States,Standard Class,6
US-2022-100153,Oklahoma,Shipped,12/17/2022,Norman,United States,Standard Class,6
US-2021-154144,New York,Shipped,12/24/2021,Lindenhurst,United States,Standard Class,6
US-2022-131296,Maryland,Shipped,10/9/2022,Baltimore,United States,Standard Class,6
US-2023-169978,New York,Shipped,12/28/2023,Oceanside,United States,Standard Class,12
US-2022-133872,Florida,Shipped,6/17/2022,Boca Raton,United States,First Class,2
US-2020-103331,Delaware,Ordered,8/26/2020,Newark,United States,Standard Class,18
US-2023-131625,New York,Ordered,9/1/2023,New York City,United States,Second Class,3
US-2023-115154,Washington,Ordered,1/8/2023,Seattle,United States,First Class,1
US-2023-117450,Florida,Shipped,9/8/2023,Boynton Beach,United States,Standard Class,12
US-2023-146724,Minnesota,Ordered,11/20/2023,Lakeville,United States,Standard Class,6
US-2023-165155,California,Shipped,9/23/2023,Los Angeles,United States,First Class,1
US-2022-129126,New York,Ordered,12/14/2022,New York City,United States,Standard Class,36
US-2023-142489,Texas,Shipped,11/16/2023,Houston,United States,Second Class,3
US-2023-106796,Ohio,Ordered,5/12/2023,Springfield,United States,Standard Class,6
US-2021-137533,Ohio,Ordered,12/18/2021,Cleveland,United States,Same Day,0
US-2022-138408,Alabama,Shipped,11/21/2022,Huntsville,United States,Second Class,3
US-2023-146164,Minnesota,Shipped,12/26/2023,Rochester,United States,Standard Class,12
US-2023-147956,Washington,Shipped,12/31/2023,Seattle,United States,Standard Class,6
US-2020-105270,California,Ordered,11/11/2020,Los Angeles,United States,Standard Class,12
US-2022-133795,California,Shipped,12/24/2022,San Diego,United States,Standard Class,18
US-2020-133634,Virginia,Shipped,11/10/2020,Arlington,United States,Standard Class,6
US-2023-101637,Texas,Shipped,3/25/2023,Beaumont,United States,Same Day,0
US-2021-104185,New York,Shipped,9/8/2021,New York City,United States,Second Class,3
US-2023-105914,California,Shipped,10/8/2023,Los Angeles,United States,Standard Class,12
US-2020-157882,California,Ordered,10/3/2020,Los Angeles,United States,Second Class,6
US-2023-111815,Michigan,Ordered,3/3/2023,Dearborn Heights,United States,Standard Class,12
US-2023-115805,Illinois,Ordered,7/31/2023,Chicago,United States,Same Day,0
US-2023-136721,Michigan,Ordered,4/8/2023,Oak Park,United States,Standard Class,12
US-2023-151981,New Hampshire,Ordered,8/6/2023,Concord,United States,Standard Class,18
US-2023-134096,Florida,Ordered,9/24/2023,Hollywood,United States,Standard Class,12
CA-2021-158792,Quebec,Ordered,12/26/2021,Montreal,Canada,Standard Class,6
US-2023-169901,California,Shipped,6/19/2023,San Francisco,United States,Standard Class,6
US-2022-131499,New York,Ordered,9/8/2022,New York City,United States,First Class,1
US-2023-122280,New York,Shipped,9/10/2023,New York City,United States,Same Day,0
US-2020-151792,Illinois,Ordered,9/2/2020,Chicago,United States,Second Class,3
US-2023-137414,California,Ordered,10/2/2023,San Francisco,United States,Standard Class,12
US-2020-145387,Rhode Island,Shipped,11/2/2020,Cranston,United States,Second Class,21
US-2022-147067,Minnesota,Shipped,12/22/2022,Minneapolis,United States,Standard Class,6
US-2023-150504,Texas,Shipped,11/12/2023,Dallas,United States,Standard Class,6
US-2023-110443,Washington,Ordered,11/21/2023,Renton,United States,Standard Class,18
US-2020-150245,New York,Shipped,1/4/2021,Watertown,United States,Second Class,3
US-2021-112452,Michigan,Ordered,4/4/2021,Lansing,United States,Same Day,0
US-2022-117912,Arizona,Shipped,2/8/2022,Sierra Vista,United States,Standard Class,6
US-2023-121853,California,Shipped,9/29/2023,Los Angeles,United States,Standard Class,18
US-2020-161508,Texas,Ordered,7/12/2020,League City,United States,Standard Class,24
US-2020-144414,Washington,Shipped,6/21/2020,Seattle,United States,Standard Class,18
US-2023-158407,North Carolina,Shipped,6/10/2023,Monroe,United States,Standard Class,12
US-2022-118626,Florida,Ordered,8/15/2022,Tallahassee,United States,Standard Class,6
US-2020-126907,Illinois,Ordered,11/1/2020,Chicago,United States,Standard Class,6
US-2021-143980,New York,Shipped,12/29/2021,New York City,United States,Standard Class,6
US-2021-168529,California,Shipped,10/12/2021,San Francisco,United States,Standard Class,6
US-2022-150350,Washington,Ordered,8/23/2022,Seattle,United States,Standard Class,36
US-2023-152366,Texas,Ordered,4/21/2023,Houston,United States,Second Class,3
US-2022-117590,Texas,Ordered,12/8/2022,Richardson,United States,First Class,2
US-2023-133312,California,Ordered,11/25/2023,San Francisco,United States,Standard Class,12
US-2020-146528,California,Ordered,7/25/2020,Los Angeles,United States,Second Class,6
US-2023-169054,Pennsylvania,Ordered,4/22/2023,Philadelphia,United States,Standard Class,6
US-2023-117240,New York,Shipped,7/28/2023,New York City,United States,Standard Class,6
US-2020-106572,Ohio,Ordered,9/5/2020,Bowling Green,United States,Standard Class,6
US-2023-102820,California,Shipped,5/11/2023,Pasadena,United States,Standard Class,6
US-2023-116113,Alabama,Shipped,10/6/2023,Montgomery,United States,Second Class,3
US-2023-103226,New Mexico,Ordered,9/22/2023,Albuquerque,United States,Standard Class,6
US-2021-108966,Florida,Shipped,10/18/2021,Fort Lauderdale,United States,Standard Class,12
US-2023-122595,Illinois,Shipped,12/20/2023,Chicago,United States,Standard Class,18
US-2022-117604,Arkansas,Ordered,9/4/2022,Jonesboro,United States,Standard Class,6
US-2022-109176,Pennsylvania,Shipped,5/15/2022,Philadelphia,United States,Standard Class,12
US-2020-157385,California,Ordered,11/23/2020,Los Angeles,United States,First Class,4
US-2023-106033,California,Shipped,10/18/2023,San Francisco,United States,Second Class,3
US-2023-141719,Illinois,Shipped,11/21/2023,Naperville,United States,Second Class,3
US-2022-112102,Virginia,Shipped,4/16/2022,Springfield,United States,Standard Class,18
US-2022-105732,Nebraska,Shipped,9/18/2022,Omaha,United States,Standard Class,60
US-2022-131611,Texas,Shipped,11/9/2022,Houston,United States,Standard Class,30
US-2023-164112,New York,Shipped,7/4/2023,Mount Vernon,United States,Standard Class,6
US-2022-161025,California,Ordered,12/3/2022,Los Angeles,United States,Standard Class,6
US-2021-130519,Florida,Ordered,9/15/2021,Coral Springs,United States,Same Day,0
US-2021-149636,Colorado,Shipped,1/12/2021,Colorado Springs,United States,Standard Class,12
US-2020-141355,Colorado,Ordered,9/25/2020,Aurora,United States,Standard Class,6
CA-2020-115238,Ontario,Shipped,1/24/2020,Toronto,Canada,Standard Class,30
US-2021-130491,Kansas,Ordered,2/8/2021,Garden City,United States,First Class,3
US-2020-103317,Florida,Shipped,7/8/2020,Palm Coast,United States,First Class,3
US-2022-154508,New Mexico,Shipped,11/20/2022,Carlsbad,United States,Standard Class,6
US-2021-103135,Kentucky,Ordered,7/24/2021,Louisville,United States,Standard Class,24
US-2022-100671,Texas,Shipped,11/4/2022,Conroe,United States,First Class,1
US-2022-142895,North Carolina,Ordered,7/21/2022,Concord,United States,Standard Class,12
US-2022-140207,California,Ordered,11/5/2022,San Jose,United States,Standard Class,6
US-2021-169299,Oregon,Ordered,8/24/2021,Portland,United States,First Class,1
US-2022-117583,New Jersey,Shipped,11/30/2022,East Orange,United States,First Class,4
US-2020-113964,New York,Ordered,9/23/2020,New York City,United States,Standard Class,6
US-2023-145233,Colorado,Ordered,12/1/2023,Denver,United States,Standard Class,30
US-2023-122196,Delaware,Shipped,9/24/2023,Wilmington,United States,First Class,1
US-2022-158610,Rhode Island,Shipped,9/22/2022,Providence,United States,First Class,1
US-2023-167920,Kentucky,Ordered,12/9/2023,Richmond,United States,Second Class,21
US-2022-133123,North Carolina,Ordered,9/6/2022,Thomasville,United States,Standard Class,12
US-2022-161844,Tennessee,Ordered,12/9/2022,Franklin,United States,Second Class,6
US-2020-143840,Alabama,Shipped,5/29/2020,Decatur,United States,Standard Class,12
US-2022-127425,New York,Ordered,8/26/2022,New York City,United States,Standard Class,12
US-2020-164406,California,Ordered,8/15/2020,San Francisco,United States,Standard Class,30
US-2022-119018,California,Ordered,11/4/2022,Los Angeles,United States,Standard Class,18
US-2021-129042,Maryland,Ordered,12/12/2021,Baltimore,United States,Standard Class,6
US-2022-129238,California,Shipped,2/4/2022,Los Angeles,United States,Standard Class,12
US-2021-156104,Indiana,Ordered,12/6/2021,Indianapolis,United States,Second Class,3
US-2021-119907,Washington,Shipped,12/8/2021,Seattle,United States,Standard Class,6
US-2021-118955,Texas,Shipped,6/20/2021,Grand Prairie,United States,Standard Class,18
US-2023-151484,Pennsylvania,Ordered,4/20/2023,Philadelphia,United States,First Class,4
US-2020-140858,Pennsylvania,Shipped,7/2/2020,Philadelphia,United States,Standard Class,30
US-2023-130211,Oklahoma,Shipped,10/22/2023,Lawton,United States,Same Day,0
US-2022-164637,Indiana,Shipped,3/8/2022,Mishawaka,United States,Standard Class,6
US-2021-145121,Connecticut,Ordered,10/2/2021,Middletown,United States,Standard Class,6
US-2023-127516,Tennessee,Shipped,1/3/2024,Nashville,United States,Standard Class,6
US-2022-130442,North Carolina,Ordered,12/16/2022,Goldsboro,United States,First Class,1
US-2022-162747,Mississippi,Ordered,3/20/2022,Gulfport,United States,Second Class,3
US-2023-169551,Pennsylvania,Shipped,7/9/2023,Philadelphia,United States,First Class,6
US-2020-156342,Illinois,Ordered,6/17/2020,Chicago,United States,Second Class,3
US-2023-154851,Pennsylvania,Shipped,4/3/2023,Lancaster,United States,Standard Class,6
US-2022-112340,California,Ordered,10/21/2022,Riverside,United States,Standard Class,6
US-2020-112851,California,Shipped,9/21/2020,Chula Vista,United States,Standard Class,6
US-2022-162733,California,Shipped,5/12/2022,Los Angeles,United States,First Class,1
US-2021-136805,Michigan,Ordered,5/23/2021,Detroit,United States,Second Class,6
US-2021-109575,Maryland,Shipped,9/23/2021,Clinton,United States,Standard Class,30
US-2023-160465,Ohio,Shipped,7/26/2023,Cleveland,United States,Standard Class,18
US-2023-117702,Maryland,Ordered,11/28/2023,Baltimore,United States,Standard Class,18
US-2021-160563,California,Ordered,10/20/2021,San Francisco,United States,Standard Class,12
US-2022-137127,Delaware,Shipped,6/22/2022,Newark,United States,Standard Class,6
US-2020-134187,California,Ordered,11/4/2020,Long Beach,United States,Standard Class,6
US-2020-165806,Georgia,Shipped,4/7/2020,Marietta,United States,Same Day,0
US-2022-133550,Michigan,Ordered,7/31/2022,Detroit,United States,Standard Class,24
US-2022-151862,Colorado,Ordered,3/1/2022,Denver,United States,Standard Class,6
US-2021-152527,California,Shipped,10/17/2021,Los Angeles,United States,Same Day,0
US-2023-127306,Tennessee,Ordered,1/14/2023,Johnson City,United States,Standard Class,30
US-2020-165309,Texas,Ordered,11/11/2020,Houston,United States,Standard Class,42
US-2022-105284,Pennsylvania,Shipped,12/1/2022,Philadelphia,United States,Standard Class,6
US-2022-116729,California,Shipped,12/28/2022,Los Angeles,United States,First Class,3
US-2021-160171,California,Shipped,10/24/2021,Los Angeles,United States,Standard Class,12
US-2020-149055,Pennsylvania,Ordered,11/23/2020,Philadelphia,United States,Standard Class,6
US-2021-162376,Massachusetts,Ordered,11/22/2021,Cambridge,United States,Second Class,6
US-2021-166464,New York,Ordered,9/12/2021,New York City,United States,Standard Class,12
US-2020-110422,Florida,Shipped,1/23/2020,Miami,United States,Second Class,3
US-2022-103128,Illinois,Shipped,11/15/2022,Arlington Heights,United States,Standard Class,6
US-2022-168543,New York,Shipped,7/7/2022,New York City,United States,Standard Class,6
US-2022-137729,California,Shipped,5/9/2022,Los Angeles,United States,Standard Class,12
US-2023-106705,Iowa,Shipped,1/1/2024,Burlington,United States,Standard Class,6
US-2021-165743,Colorado,Ordered,11/20/2021,Aurora,United States,Second Class,9
US-2022-130225,Texas,Shipped,9/17/2022,Houston,United States,Standard Class,6
US-2020-113579,California,Ordered,12/13/2020,Los Angeles,United States,Second Class,3
US-2022-139556,New York,Shipped,5/1/2022,New York City,United States,Standard Class,6
US-2022-135636,North Carolina,Shipped,10/13/2022,Charlotte,United States,Standard Class,6
US-2023-102554,Alabama,Ordered,6/11/2023,Auburn,United States,Standard Class,6
US-2023-108749,Rhode Island,Ordered,9/12/2023,Woonsocket,United States,First Class,2
US-2020-157623,California,Shipped,3/18/2020,Huntington Beach,United States,Standard Class,12
US-2023-101322,California,Ordered,12/28/2023,Long Beach,United States,First Class,1
US-2021-134026,Tennessee,Ordered,4/26/2021,Memphis,United States,Standard Class,18
US-2020-111773,New York,Ordered,6/29/2020,New York City,United States,Standard Class,6
US-2022-108364,Illinois,Shipped,12/24/2022,Chicago,United States,Standard Class,6
US-2023-104381,New York,Shipped,12/23/2023,Rochester,United States,Standard Class,6
US-2022-147431,New York,Ordered,2/2/2022,New York City,United States,Standard Class,6
US-2023-108063,Virginia,Shipped,12/5/2023,Charlottesville,United States,First Class,1
US-2021-134257,Alabama,Ordered,3/16/2021,Auburn,United States,Second Class,6
US-2023-169474,New York,Shipped,2/9/2023,Rochester,United States,Standard Class,6
US-2020-107916,New York,Ordered,8/24/2020,Oceanside,United States,First Class,2
US-2022-148747,California,Ordered,9/25/2022,San Francisco,United States,First Class,1
US-2023-155936,Illinois,Shipped,6/29/2023,Chicago,United States,Standard Class,6
US-2021-143602,California,Shipped,4/28/2021,Los Angeles,United States,Second Class,3
US-2020-121762,Washington,Shipped,2/18/2020,Seattle,United States,Standard Class,18
US-2023-104094,Wisconsin,Ordered,9/7/2023,Milwaukee,United States,Standard Class,6
US-2021-131352,Texas,Ordered,10/8/2021,Dallas,United States,Standard Class,6
US-2021-118423,Illinois,Ordered,3/24/2021,Peoria,United States,First Class,1
US-2023-121804,Kentucky,Shipped,3/8/2023,Murray,United States,Standard Class,6
US-2023-117198,Louisiana,Ordered,8/31/2023,Monroe,United States,Standard Class,6
US-2021-164833,Washington,Shipped,6/4/2021,Seattle,United States,Same Day,0
US-2020-120243,California,Shipped,12/30/2020,Los Angeles,United States,Second Class,3
US-2020-133592,Rhode Island,Ordered,12/31/2020,Providence,United States,Standard Class,30
US-2022-144092,California,Ordered,11/5/2022,San Jose,United States,Second Class,9
CA-2023-132339,Quebec,Ordered,8/19/2023,Montreal,Canada,Standard Class,6
US-2022-157945,Illinois,Shipped,10/1/2022,Decatur,United States,Standard Class,12
US-2023-154116,California,Ordered,12/15/2023,Inglewood,United States,Standard Class,18
US-2022-137337,New York,Shipped,3/12/2022,New York City,United States,Standard Class,18
US-2022-154256,New York,Shipped,6/27/2022,New York City,United States,Second Class,3
US-2022-160815,Iowa,Ordered,9/5/2022,Cedar Rapids,United States,First Class,1
US-2021-162201,Florida,Ordered,6/8/2021,Saint Petersburg,United States,Standard Class,42
US-2022-133802,California,Shipped,3/20/2022,Redwood City,United States,Standard Class,6
US-2023-127621,Texas,Shipped,3/7/2023,Dallas,United States,Standard Class,6
CA-2020-141531,Quebec,Ordered,12/29/2020,Quebec City,Canada,Standard Class,12
US-2022-166443,California,Shipped,11/5/2022,San Francisco,United States,First Class,1
US-2021-106873,Arizona,Shipped,9/29/2021,Avondale,United States,Second Class,9
US-2021-142993,Washington,Shipped,10/17/2021,Seattle,United States,Standard Class,12
US-2020-132612,Virginia,Shipped,6/11/2020,Harrisonburg,United States,Second Class,3
US-2021-142041,California,Ordered,6/7/2021,Los Angeles,United States,Second Class,3
US-2023-134285,Texas,Ordered,12/7/2023,San Antonio,United States,Standard Class,12
US-2023-117156,Pennsylvania,Ordered,3/21/2023,Reading,United States,Second Class,3
US-2020-151925,California,Ordered,9/26/2020,Los Angeles,United States,Second Class,3
CA-2020-117964,New Brunswick,Ordered,12/2/2020,Moncton,Canada,Standard Class,12
US-2020-119081,Kansas,Shipped,9/19/2020,Olathe,United States,Standard Class,24
US-2020-164749,Florida,Ordered,3/23/2020,Delray Beach,United States,First Class,1
US-2021-146087,Massachusetts,Shipped,7/11/2021,Holyoke,United States,Standard Class,6
US-2021-145184,Delaware,Shipped,11/29/2021,Newark,United States,First Class,2
US-2022-106950,North Carolina,Ordered,9/2/2022,Charlotte,United States,Standard Class,36
US-2020-101147,Illinois,Ordered,12/2/2020,Chicago,United States,First Class,1
US-2021-128860,Pennsylvania,Ordered,6/29/2021,Lancaster,United States,Standard Class,6
US-2022-129630,California,Shipped,9/4/2022,San Francisco,United States,Same Day,0
US-2022-132423,Texas,Shipped,4/19/2022,Grapevine,United States,Standard Class,12
US-2023-133256,Michigan,Shipped,6/27/2023,Detroit,United States,First Class,3
US-2023-146031,New York,Ordered,7/29/2023,Troy,United States,Second Class,3
US-2022-129693,Washington,Ordered,11/26/2022,Seattle,United States,Standard Class,6
US-2023-166499,New Jersey,Ordered,3/19/2023,Lakewood,United States,First Class,1
US-2023-119389,Pennsylvania,Ordered,4/17/2023,Philadelphia,United States,First Class,1
US-2023-151428,Minnesota,Ordered,9/21/2023,Rochester,United States,Standard Class,6
US-2022-124506,Illinois,Ordered,11/11/2022,Chicago,United States,Standard Class,12
US-2021-136700,California,Ordered,12/6/2021,Santa Barbara,United States,Second Class,3
US-2022-155166,New Jersey,Ordered,12/26/2022,Vineland,United States,Standard Class,12
US-2022-148901,Florida,Shipped,5/19/2022,Jacksonville,United States,Standard Class,42
US-2023-140676,Maryland,Ordered,9/12/2023,Baltimore,United States,First Class,3
US-2022-149671,Washington,Shipped,6/9/2022,Seattle,United States,Standard Class,6
US-2023-131653,New York,Shipped,2/5/2023,New York City,United States,Standard Class,6
US-2020-153969,California,Shipped,9/25/2020,San Francisco,United States,Standard Class,36
US-2021-150749,Virginia,Ordered,3/29/2021,Springfield,United States,Second Class,3
US-2023-122994,Virginia,Shipped,2/9/2023,Arlington,United States,First Class,1
US-2023-136000,New York,Ordered,9/22/2023,New York City,United States,Second Class,3
US-2020-159121,Utah,Shipped,8/1/2020,Draper,United States,Standard Class,6
